topic_id;words;probabilities
0;['good', 'mind', 'world', 'hear', 'life', 'white', 'light', 'round', 'night', 'going'];[0.012739828, 0.00969187, 0.008700736, 0.007945082, 0.0075845, 0.0067880633, 0.005827356, 0.005226842, 0.005223096, 0.0051850216]
1;['niggas', 'cause', 'shit', 'nigga', 'better', 'fuck', 'real', 'right', 'life', 'keep'];[0.01074603, 0.009925968, 0.009557134, 0.008404538, 0.0067056958, 0.006012181, 0.0058911787, 0.004987438, 0.004318024, 0.0040778215]
2;['bitch', 'money', 'night', 'fuck', 'nigga', 'shake', 'ready', 'shit', 'holy', 'life'];[0.018430036, 0.014379605, 0.013128224, 0.011018183, 0.0074366564, 0.0061963447, 0.0061257887, 0.005995875, 0.004370733, 0.004248172]
3;['heart', 'find', 'night', 'someone', 'right', 'nothing', 'always', 'cause', 'put', 'eyes'];[0.009289342, 0.007906982, 0.0075504775, 0.0073022447, 0.0067746826, 0.006693973, 0.006421965, 0.00634501, 0.0061675026, 0.0058487877]
4;['god', 'heart', 'always', 'life', 'everything', 'lost', 'end', 'well', 'every', 'find'];[0.009081519, 0.008342984, 0.008279256, 0.0073251543, 0.0067431917, 0.005876711, 0.0057651224, 0.0056017195, 0.0054086577, 0.0053002243]
5;['life', 'night', 'girl', 'cause', 'another', 'give', 'heart', 'ever', 'mind', 'good'];[0.014070979, 0.010367174, 0.009091319, 0.008475684, 0.008369207, 0.008165562, 0.007654981, 0.006872873, 0.0066324407, 0.0065041203]
6;['life', 'blood', 'live', 'bad', 'lie', 'ever', 'death', 'nothing', 'still', 'face'];[0.007778171, 0.0054752133, 0.005349876, 0.005267531, 0.0044774935, 0.0044367453, 0.0042072167, 0.004099914, 0.0038406588, 0.0036996787]
7;['little', 'eyes', 'light', 'please', 'cause', 'wait', 'girl', 'alone', 'many', 'show'];[0.012563139, 0.010836224, 0.008428947, 0.008375075, 0.0075686397, 0.0062332414, 0.006136268, 0.0059027052, 0.0058461674, 0.0057150647]
8;['mind', 'girl', 'somebody', 'help', 'every', 'well', 'alright', 'hands', 'put', 'cause'];[0.007944203, 0.007453352, 0.0064913505, 0.0063540083, 0.006318421, 0.0056470037, 0.005533948, 0.0054696808, 0.0050875354, 0.004919227]
9;['right', 'cause', 'find', 'real', 'give', 'well', 'home', 'long', 'rain', 'walk'];[0.022026291, 0.007114106, 0.0058030514, 0.005719136, 0.0055363504, 0.0052827373, 0.005033502, 0.005021669, 0.004930731, 0.0049091503]
10;['turn', 'cause', 'people', 'keep', 'talk', 'girl', 'shit', 'right', 'nigga', 'around'];[0.008174538, 0.0071983407, 0.0055977837, 0.005424337, 0.0052737296, 0.0049739257, 0.00494757, 0.00473423, 0.0043149, 0.004162028]
11;['tonight', 'fire', 'well', 'world', 'heart', 'alive', 'sky', 'burn', 'wish', 'die'];[0.012407553, 0.010904381, 0.008104073, 0.007938968, 0.0075939647, 0.007432033, 0.0064586056, 0.006270372, 0.006169039, 0.0058476906]
12;['still', 'right', 'cause', 'around', 'good', 'well', 'world', 'boy', 'nigga', 'play'];[0.011049305, 0.010668748, 0.008694485, 0.0062629655, 0.0058536315, 0.0058119143, 0.005301637, 0.00498693, 0.004798902, 0.004015414]
13;['hold', 'run', 'things', 'heart', 'nothing', 'world', 'cause', 'well', 'running', 'hes'];[0.018365085, 0.009793185, 0.0079314755, 0.0074101603, 0.0073463875, 0.006962831, 0.006496709, 0.0057255384, 0.0056055402, 0.0054955133]
14;['change', 'whoa', 'leave', 'heart', 'cause', 'sing', 'find', 'step', 'said', 'found'];[0.00796014, 0.007890878, 0.0070291273, 0.0057986053, 0.0057951575, 0.005784904, 0.005782563, 0.0053580436, 0.0052786926, 0.004892577]
15;['said', 'well', 'lord', 'cause', 'heart', 'dead', 'night', 'thought', 'head', 'id'];[0.025552504, 0.012280159, 0.011822793, 0.010379166, 0.0075322646, 0.0061949007, 0.006044334, 0.005901302, 0.005457697, 0.005449015]
16;['girl', 'shes', 'give', 'life', 'little', 'around', 'feeling', 'good', 'always', 'right'];[0.016952021, 0.0155119505, 0.013379908, 0.008730012, 0.008517236, 0.007967319, 0.0072889174, 0.007087304, 0.0062347925, 0.0060834587]
17;['well', 'cause', 'call', 'night', 'stop', 'world', 'water', 'alone', 'good', 'dance'];[0.013122026, 0.009525459, 0.0066400236, 0.0061085145, 0.005967994, 0.0052742795, 0.0046964, 0.0042977403, 0.0041486886, 0.0041484856]
18;['home', 'long', 'gone', 'still', 'fall', 'things', 'believe', 'left', 'stay', 'right'];[0.014020526, 0.012829902, 0.012282579, 0.010314878, 0.008209946, 0.0062988517, 0.006234409, 0.005892066, 0.0057804347, 0.0054394417]
19;['run', 'little', 'old', 'well', 'cold', 'free', 'rock', 'big', 'around', 'cry'];[0.010378928, 0.007943874, 0.0069657187, 0.0066684987, 0.0054346016, 0.005373629, 0.0052642603, 0.005254475, 0.004923733, 0.004727845]
